raw_endpoint	task_type	raw_unit	raw_relation	descriptive_only	n	unique_values	min	p01	p05	p25	median	p75	p95	p99	max	mean	sd	iqr	mad	top_value_fraction	zero_count	negative_count	positive_count	tukey_outlier_count
hemolysis	regression	nM	=	true	6	6	35000	35500	37500	181250	735000	1011250	2683250	3117450	3226000	971833.333333	1181447.4879	830000	505000	0.166666666667	0	0	6	1
hemolysis	regression	uM	<	true	46	10	3	3.045	3.575	12.5	25	81	800	800	800	102.356521739	222.102628582	68.5	19.7	0.217391304348	0	0	46	6
hemolysis	regression	uM	=	true	3732	1162	0.05	1	4.2216	25.975	87.6	200	727.54	3496.96	219457	325.402733119	3825.80017429	174.025	70.19	0.0450160771704	0	0	3732	398
hemolysis	regression	uM	>	true	967	58	8.5	31.32	50	100	200	320	600	1437.68	2000	262.040537746	260.070742388	220	100	0.225439503619	0	0	967	48
hemolysis	regression	uM	>=	true	24	2	65	65	65	65	65	65	65	207.45	250	72.7083333333	37.7629668679	0	0	0.958333333333	0	0	24	1
hemolysis	regression	uM	~	true	4	4	0.1	0.16	0.4	1.6	11.05	42.5	96.5	107.3	110	33.05	52.0743378899	40.9	9.95	0.25	0	0	4	1
hemolysis	regression	ug/mL	<	true	13	6	1	1	1	1	7.8	10	640	928	1000	121.2	286.514828005	9	6.8	0.384615384615	0	0	13	3
hemolysis	regression	ug/mL	=	true	842	375	1	1.6738	5	40	100	250	844.54	1295.9	13800	244.767684086	695.503072567	210	82.87	0.0403800475059	0	0	842	69
hemolysis	regression	ug/mL	>	true	496	33	1	32	100	128	256	500	2000	2000	2500	455.923387097	489.763490827	372	128	0.264112903226	0	0	496	32
hemolysis	regression	ug/mL	>=	true	3	2	128	129.44	135.2	164	200	200	200	200	200	176	41.5692193817	36	0	0.666666666667	0	0	3	0
hemolysis	regression	ug/mL	~	true	1	1	100	100	100	100	100	100	100	100	100	100	0	0	0	1	0	0	1	0
hemolysis	regression	umol/L	=	true	8	8	0.6	0.922	2.21	9.1	29.055	101.635	268.2935	313.8187	325.2	80.42875	112.769045707	92.535	26.155	0.125	0	0	8	1
hemolysis	regression	umol/L	>	true	1	1	325.2	325.2	325.2	325.2	325.2	325.2	325.2	325.2	325.2	325.2	0	0	0	1	0	0	1	0
hemolysis_concentration_at_50_percent	numeric_regression	uM	=	true	1	1	250	250	250	250	250	250	250	250	250	250	0	0	0	1	0	0	1	0
hemolysis_concentration_at_5_percent	numeric_regression	ug/mL	=	true	1	1	62.5	62.5	62.5	62.5	62.5	62.5	62.5	62.5	62.5	62.5	0	0	0	1	0	0	1	0
hemolysis_ec50	censored_numeric_regression	uM	>	true	11	8	438	438.2	439	440	451	459	484.5	488.1	489	453.727272727	17.1586182957	19	11	0.272727272727	0	0	11	1
hemolysis_ec50	numeric_regression	uM	=	true	4	4	6	6.81	10.05	26.25	155.5	304	366.4	378.88	382	174.75	184.555998728	277.75	136	0.25	0	0	4	0
hemolysis_hc50	censored_numeric_regression	uM	>	true	35	5	100	100	100	200	200	500	500	500	500	298.742857143	151.645938806	300	0	0.514285714286	0	0	35	0
hemolysis_hc50	numeric_regression	uM	=	true	15	15	10	10.7	13.5	20.5	42.5	111.5	252.24	373.648	404	83.8466666667	103.612649991	91	26.5	0.0666666666667	0	0	15	1
hemolysis_hc50	numeric_regression	ug/mL	=	true	2	2	137.9	138.711	141.955	158.175	178.45	198.725	214.945	218.189	219	178.45	57.3463599542	40.55	40.55	0.5	0	0	2	0
hemolysis_hd50	numeric_regression	uM	=	true	4	4	11.6	11.651	11.855	12.875	19.4	69.125	173.825	194.765	200	62.6	91.8089683346	56.25	6.95	0.25	0	0	4	1
hemolysis_ic50	numeric_regression	uM	=	true	1	1	155	155	155	155	155	155	155	155	155	155	0	0	0	1	0	0	1	0
hemolysis_lc50	censored_numeric_regression	uM	>	true	1	1	403	403	403	403	403	403	403	403	403	403	0	0	0	1	0	0	1	0
hemolysis_lc50	censored_numeric_regression	ug/mL	>	true	2	2	600	604	620	700	800	900	980	996	1000	800	282.842712475	200	200	0.5	0	0	2	0
hemolysis_lc50	numeric_regression	uM	=	true	3	3	6.2	6.216	6.28	6.6	7	103.5	180.7	196.14	200	71.0666666667	111.660258523	96.9	0.8	0.333333333333	0	0	3	0
hemolysis_mhc	numeric_regression	uM	=	true	32	17	3.44	3.44	3.748	8	42.875	125.75	167.0645	214.879	214.91	68.060625	65.0419874283	117.75	38.875	0.1875	0	0	32	0
hemolysis_mhc10	censored_numeric_regression	uM	>	true	18	2	640	640	640	800	1280	1280	1280	1280	1280	1102.22222222	294.968703336	480	0	0.722222222222	0	0	18	0
hemolysis_mhc10	numeric_regression	uM	=	true	21	10	0.08	0.19	0.63	1.25	20	320	1280	1280	1280	249.498095238	397.119380711	318.75	19.92	0.333333333333	0	0	21	2
hemolysis_percent	censored_numeric_regression	%	<	true	23	6	1	1	1	1.75	5	10	10	17.8	20	6.58695652174	4.87724813877	8.25	4	0.434782608696	0	0	23	0
hemolysis_percent	censored_numeric_regression	%	>	true	2	2	0	0.5	2.5	12.5	25	37.5	47.5	49.5	50	25	35.3553390593	25	25	0.5	1	0	1	0
hemolysis_percent	numeric_regression	%	=	true	486	105	0	0	0	1.55	8	27.75	98	100	100	21.5127160494	29.7111304151	26.2	7.96	0.156378600823	76	0	410	58
lipophilicity_proxy	regression	CHI-IAM index	blank	true	12	12	31.64	31.8699	32.7895	33.95	34.83	38.3825	42.2875	44.6415	45.23	36.4633333333	3.75736206626	4.4325	1.87	0.0833333333333	0	0	12	1
logd	regression	dimensionless	blank	true	22	21	-1.7	-1.6538	-1.443	-0.3425	1.71	2.2025	2.5785	2.8249	2.89	1.07772727273	1.4287021477	2.545	0.795	0.0909090909091	0	6	16	0
membrane_retention	regression	%	blank	true	12	11	0	0	0	5.75	9.5	17.5	58.3	64.46	66	17.1666666667	20.796998618	11.75	7	0.166666666667	2	0	10	2
permeability	censored_regression	log10(cm/s)	<	true	4	2	-8.2	-8.188	-8.14	-7.9	-7.8	-7.8	-7.8	-7.8	-7.8	-7.9	0.2	0.1	0	0.75	0	4	0	1
permeability	censored_regression	log10(cm/s)	>	true	6	1	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	0	0	0	1	0	6	0	0
permeability	regression	10^-6 cm/s	=	true	5	5	0.3	0.306	0.33	0.45	0.6	1.73	2.434	2.5748	2.61	1.138	0.997782541439	1.28	0.3	0.2	0	0	5	0
permeability	regression	10^-6 cm/s	blank	true	28	28	0.194	0.1994	0.2154	1.1325	5.92	11.05	23.705	30.179	30.8	7.18517857143	7.74788867324	9.9175	5.05	0.0357142857143	0	0	28	2
permeability	regression	log10(cm/s)	blank	true	1655	640	-8.699	-8	-7.6857	-6.959	-6.301	-5.46	-4.5272	-4.19632	-3.575	-6.19351440935	0.971911734378	1.499	0.745	0.0277945619335	0	1655	0	0
permeability	regression	source_log10_permeability	=	true	8455	769	-9.46	-8.05	-7.24	-6.235	-5.71	-5.27	-4.59	-4.31	-3.46	-5.79885043469	0.79342691379	0.965	0.48	0.0102897693672	0	8455	0	182
permeability_recovery	regression	%	blank	true	16	14	27	29.25	38.25	73.75	90	94.5	101.25	101.85	102	80.8125	21.0403382419	20.75	9	0.1875	0	0	16	2
