endpoint_family	partition	field	rows	missing_rows	missing_fraction
Vd	identity_review	raw_route	6	0	0
Vd	identity_review	raw_dose	6	6	1
Vd	identity_review	raw_timepoint	6	6	1
Vd	semantic_review	task_id	14	0	0
Vd	semantic_review	identity_group_id	14	0	0
Vd	semantic_review	representation_text	14	0	0
Vd	semantic_review	sequence	14	4	0.285714285714
Vd	semantic_review	source_id	14	0	0
Vd	semantic_review	source_group_ids	14	0	0
Vd	semantic_review	raw_endpoint_detail	14	0	0
Vd	semantic_review	raw_unit	14	0	0
Vd	semantic_review	normalized_value	14	0	0
Vd	semantic_review	normalized_unit	14	0	0
Vd	semantic_review	raw_species	14	0	0
Vd	semantic_review	raw_matrix	14	0	0
Vd	semantic_review	raw_assay	14	0	0
Vd	semantic_review	raw_route	14	0	0
Vd	semantic_review	raw_dose	14	0	0
Vd	semantic_review	raw_timepoint	14	4	0.285714285714
Vd	strict_numeric	task_id	38	0	0
Vd	strict_numeric	identity_group_id	38	0	0
Vd	strict_numeric	representation_text	38	0	0
Vd	strict_numeric	sequence	38	5	0.131578947368
Vd	strict_numeric	source_id	38	0	0
Vd	strict_numeric	source_group_ids	38	0	0
Vd	strict_numeric	raw_endpoint_detail	38	0	0
Vd	strict_numeric	raw_unit	38	0	0
Vd	strict_numeric	normalized_value	38	0	0
Vd	strict_numeric	normalized_unit	38	0	0
Vd	strict_numeric	raw_species	38	0	0
Vd	strict_numeric	raw_matrix	38	0	0
Vd	strict_numeric	raw_assay	38	0	0
Vd	strict_numeric	raw_route	38	0	0
Vd	strict_numeric	raw_dose	38	4	0.105263157895
Vd	strict_numeric	raw_timepoint	38	9	0.236842105263
cell_penetration	positive_unlabeled	task_id	784	0	0
cell_penetration	positive_unlabeled	identity_group_id	784	0	0
cell_penetration	positive_unlabeled	representation_text	784	0	0
cell_penetration	positive_unlabeled	sequence	784	0	0
cell_penetration	positive_unlabeled	source_id	784	0	0
cell_penetration	positive_unlabeled	source_group_ids	784	0	0
cell_penetration	positive_unlabeled	raw_endpoint_detail	784	0	0
cell_penetration	positive_unlabeled	raw_unit	784	784	1
cell_penetration	positive_unlabeled	normalized_value	784	0	0
cell_penetration	positive_unlabeled	normalized_unit	784	0	0
cell_penetration	positive_unlabeled	raw_species	784	784	1
cell_penetration	positive_unlabeled	raw_matrix	784	784	1
cell_penetration	positive_unlabeled	raw_assay	784	784	1
cell_penetration	positive_unlabeled	raw_route	784	784	1
cell_penetration	positive_unlabeled	raw_dose	784	784	1
cell_penetration	positive_unlabeled	raw_timepoint	784	784	1
permeability	censored_numeric	task_id	25	0	0
permeability	censored_numeric	identity_group_id	25	0	0
permeability	censored_numeric	representation_text	25	0	0
permeability	censored_numeric	sequence	25	25	1
permeability	censored_numeric	source_id	25	0	0
permeability	censored_numeric	source_group_ids	25	0	0
permeability	censored_numeric	raw_endpoint_detail	25	0	0
permeability	censored_numeric	raw_unit	25	0	0
permeability	censored_numeric	normalized_value	25	0	0
permeability	censored_numeric	normalized_unit	25	0	0
permeability	censored_numeric	raw_species	25	25	1
permeability	censored_numeric	raw_matrix	25	0	0
permeability	censored_numeric	raw_assay	25	0	0
permeability	censored_numeric	raw_route	25	25	1
permeability	censored_numeric	raw_dose	25	25	1
permeability	censored_numeric	raw_timepoint	25	25	1
permeability	normalization_review	task_id	16	0	0
permeability	normalization_review	identity_group_id	16	0	0
permeability	normalization_review	representation_text	16	0	0
permeability	normalization_review	sequence	16	16	1
permeability	normalization_review	source_id	16	0	0
permeability	normalization_review	source_group_ids	16	0	0
permeability	normalization_review	raw_endpoint_detail	16	0	0
permeability	normalization_review	raw_unit	16	0	0
permeability	normalization_review	normalized_value	16	16	1
permeability	normalization_review	normalized_unit	16	16	1
permeability	normalization_review	raw_species	16	16	1
permeability	normalization_review	raw_matrix	16	0	0
permeability	normalization_review	raw_assay	16	0	0
permeability	normalization_review	raw_route	16	16	1
permeability	normalization_review	raw_dose	16	16	1
permeability	normalization_review	raw_timepoint	16	16	1
permeability	semantic_review	task_id	439	0	0
permeability	semantic_review	identity_group_id	439	0	0
permeability	semantic_review	representation_text	439	0	0
permeability	semantic_review	sequence	439	290	0.660592255125
permeability	semantic_review	source_id	439	0	0
permeability	semantic_review	source_group_ids	439	0	0
permeability	semantic_review	raw_endpoint_detail	439	0	0
permeability	semantic_review	raw_unit	439	0	0
permeability	semantic_review	normalized_value	439	0	0
permeability	semantic_review	normalized_unit	439	0	0
permeability	semantic_review	raw_species	439	439	1
permeability	semantic_review	raw_matrix	439	149	0.339407744875
permeability	semantic_review	raw_assay	439	149	0.339407744875
permeability	semantic_review	raw_route	439	439	1
permeability	semantic_review	raw_dose	439	439	1
permeability	semantic_review	raw_timepoint	439	439	1
permeability	strict_numeric	task_id	9829	0	0
permeability	strict_numeric	identity_group_id	9829	0	0
permeability	strict_numeric	representation_text	9829	0	0
permeability	strict_numeric	sequence	9829	1559	0.158612269814
permeability	strict_numeric	source_id	9829	0	0
permeability	strict_numeric	source_group_ids	9829	0	0
permeability	strict_numeric	raw_endpoint_detail	9829	0	0
permeability	strict_numeric	raw_unit	9829	0	0
permeability	strict_numeric	normalized_value	9829	0	0
permeability	strict_numeric	normalized_unit	9829	0	0
permeability	strict_numeric	raw_species	9829	9810	0.998066944755
permeability	strict_numeric	raw_matrix	9829	8270	0.841387730186
permeability	strict_numeric	raw_assay	9829	8265	0.840879031438
permeability	strict_numeric	raw_route	9829	9829	1
permeability	strict_numeric	raw_dose	9829	9829	1
permeability	strict_numeric	raw_timepoint	9829	9821	0.999186082002
solubility	binary_evidence_catalog	task_id	2168	0	0
solubility	binary_evidence_catalog	identity_group_id	2168	0	0
