task_id	endpoint_family	parameter_semantics	normalized_unit	strict_modelable	size_bin	n	unique_values	min	p01	p05	p25	median	p75	p95	p99	max	mean	sd	iqr	mad	top_value_fraction	zero_count	negative_count	positive_count	tukey_outlier_count	assay_family	hard_conflict_rows	helm_representation_rows	largest_source_fraction	parameter_basis	research_modelable	semantic_signature	sequence_representation_rows	smiles_representation_rows	target_transform	unique_identities	unique_sources
mlv1.t1_2.regression.systemic_terminal_pk.c58dac8455d4aaa2	T1/2	systemic_terminal_pk	log10(h)	false	5-9	5	5	-1.33099321904	-1.32711681852	-1.31161121644	-1.23408320603	-1.20994952632	-1.16536739366	-0.614770482508	-0.504651100278	-0.47712125472	-1.08350291995	0.344352701073	0.06871581237	0.04458213266	0.2	0	5	0	1	systemic_terminal_pk	0	5	1	elapsed_time	false	"{""assay_family"":""systemic_terminal_pk"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""radioimmunoassay"",""matrix"":""serum"",""protease"":""not_applicable"",""route"":""route_not_reported"",""species"":""human""},""endpoint_family"":""T1/2"",""normalized_unit"":""log10(h)"",""parameter_basis"":""elapsed_time"",""parameter_semantics"":""systemic_terminal_pk"",""target_kind"":""regression"",""target_transform"":""log10""}"	0	0	log10	5	1
mlv1.t1_2.regression.systemic_terminal_pk.c5e991d589f5bfed	T1/2	systemic_terminal_pk	log10(h)	false	1	1	1	0.499687082618	0.499687082618	0.499687082618	0.499687082618	0.499687082618	0.499687082618	0.499687082618	0.499687082618	0.499687082618	0.499687082618	0	0	0	1	0	0	1	0	systemic_terminal_pk	0	1	1	elapsed_time	false	"{""assay_family"":""systemic_terminal_pk"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""mass_spectrometry"",""matrix"":""blood"",""protease"":""not_applicable"",""route"":""iv"",""species"":""species_not_reported""},""endpoint_family"":""T1/2"",""normalized_unit"":""log10(h)"",""parameter_basis"":""elapsed_time"",""parameter_semantics"":""systemic_terminal_pk"",""target_kind"":""regression"",""target_transform"":""log10""}"	0	0	log10	1	1
mlv1.t1_2.regression.systemic_terminal_pk.c86cae84ffe27c98	T1/2	systemic_terminal_pk	log10(h)	false	2-4	2	2	0.712649701627	0.721119877395	0.755000580465	0.924404095818	1.13615849001	1.3479128842	1.51731639955	1.55119710262	1.55966727839	1.13615849001	0.598931872313	0.423508788381	0.423508788382	0.5	0	0	2	0	systemic_terminal_pk	0	1	1	elapsed_time	false	"{""assay_family"":""systemic_terminal_pk"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""other_exendin_4_eia"",""matrix"":""plasma"",""protease"":""not_applicable"",""route"":""sc"",""species"":""mouse""},""endpoint_family"":""T1/2"",""normalized_unit"":""log10(h)"",""parameter_basis"":""elapsed_time"",""parameter_semantics"":""systemic_terminal_pk"",""target_kind"":""regression"",""target_transform"":""log10""}"	0	1	log10	2	1
mlv1.t1_2.regression.systemic_terminal_pk.c9cff6371c3328bf	T1/2	systemic_terminal_pk	log10(h)	false	1	1	1	0.0827853703165	0.0827853703165	0.0827853703165	0.0827853703165	0.0827853703165	0.0827853703165	0.0827853703165	0.0827853703165	0.0827853703165	0.0827853703165	0	0	0	1	0	0	1	0	systemic_terminal_pk	0	1	1	elapsed_time	false	"{""assay_family"":""systemic_terminal_pk"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""uplc_ms"",""matrix"":""plasma"",""protease"":""not_applicable"",""route"":""iv"",""species"":""rat""},""endpoint_family"":""T1/2"",""normalized_unit"":""log10(h)"",""parameter_basis"":""elapsed_time"",""parameter_semantics"":""systemic_terminal_pk"",""target_kind"":""regression"",""target_transform"":""log10""}"	0	0	log10	1	1
mlv1.t1_2.regression.systemic_terminal_pk.ca10ce6da3ccc390	T1/2	systemic_terminal_pk	log10(h)	false	2-4	3	3	0	0.00227886704614	0.0113943352307	0.0569716761535	0.113943352307	0.442397681975	0.705161145708	0.757713838455	0.770852011642	0.294931787983	0.416077896973	0.385426005821	0.113943352307	0.333333333333	1	0	2	0	systemic_terminal_pk	0	3	1	elapsed_time	false	"{""assay_family"":""systemic_terminal_pk"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""assay_not_reported"",""matrix"":""serum"",""protease"":""not_applicable"",""route"":""ip"",""species"":""mouse""},""endpoint_family"":""T1/2"",""normalized_unit"":""log10(h)"",""parameter_basis"":""elapsed_time"",""parameter_semantics"":""systemic_terminal_pk"",""target_kind"":""regression"",""target_transform"":""log10""}"	0	0	log10	3	1
mlv1.t1_2.regression.systemic_terminal_pk.ca9bc36fa774d2c0	T1/2	systemic_terminal_pk	log10(h)	false	1	1	1	0.300450549972	0.300450549972	0.300450549972	0.300450549972	0.300450549972	0.300450549972	0.300450549972	0.300450549972	0.300450549972	0.300450549972	0	0	0	1	0	0	1	0	systemic_terminal_pk	0	1	1	elapsed_time	false	"{""assay_family"":""systemic_terminal_pk"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""radioimmunoassay"",""matrix"":""other_intravenous_injection_to_ma_b33cb920"",""protease"":""not_applicable"",""route"":""iv"",""species"":""dog""},""endpoint_family"":""T1/2"",""normalized_unit"":""log10(h)"",""parameter_basis"":""elapsed_time"",""parameter_semantics"":""systemic_terminal_pk"",""target_kind"":""regression"",""target_transform"":""log10""}"	0	0	log10	1	1
mlv1.t1_2.regression.systemic_terminal_pk.cd81d4f01bfb705f	T1/2	systemic_terminal_pk	log10(h)	false	1	1	1	1.88874096068	1.88874096068	1.88874096068	1.88874096068	1.88874096068	1.88874096068	1.88874096068	1.88874096068	1.88874096068	1.88874096068	0	0	0	1	0	0	1	0	systemic_terminal_pk	0	1	1	elapsed_time	false	"{""assay_family"":""systemic_terminal_pk"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""radioimmunoassay"",""matrix"":""other_monkey_subcutaneous_injecti_2b57aa36"",""protease"":""not_applicable"",""route"":""sc"",""species"":""monkey_unspecified""},""endpoint_family"":""T1/2"",""normalized_unit"":""log10(h)"",""parameter_basis"":""elapsed_time"",""parameter_semantics"":""systemic_terminal_pk"",""target_kind"":""regression"",""target_transform"":""log10""}"	0	0	log10	1	1
mlv1.t1_2.regression.systemic_terminal_pk.cda7bbcb83c82795	T1/2	systemic_terminal_pk	log10(h)	false	1	1	1	-0.134698573897	-0.134698573897	-0.134698573897	-0.134698573897	-0.134698573897	-0.134698573897	-0.134698573897	-0.134698573897	-0.134698573897	-0.134698573897	0	0	0	1	0	1	0	0	systemic_terminal_pk	0	1	1	elapsed_time	false	"{""assay_family"":""systemic_terminal_pk"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""mass_spectrometry"",""matrix"":""plasma"",""protease"":""not_applicable"",""route"":""iv"",""species"":""rhesus_monkey""},""endpoint_family"":""T1/2"",""normalized_unit"":""log10(h)"",""parameter_basis"":""elapsed_time"",""parameter_semantics"":""systemic_terminal_pk"",""target_kind"":""regression"",""target_transform"":""log10""}"	0	0	log10	1	1
mlv1.t1_2.regression.systemic_terminal_pk.ce908cb4cbb8ae58	T1/2	systemic_terminal_pk	log10(h)	false	2-4	2	2	0.819543935542	0.82297115233	0.83668001948	0.905224355232	0.990904774921	1.07658519461	1.14512953036	1.15883839751	1.1622656143	0.990904774921	0.242340823109	0.171360839379	0.171360839379	0.5	0	0	2	0	systemic_terminal_pk	0	2	1	elapsed_time	false	"{""assay_family"":""systemic_terminal_pk"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""radioactivity"",""matrix"":""plasma"",""protease"":""not_applicable"",""route"":""sc"",""species"":""rat""},""endpoint_family"":""T1/2"",""normalized_unit"":""log10(h)"",""parameter_basis"":""elapsed_time"",""parameter_semantics"":""systemic_terminal_pk"",""target_kind"":""regression"",""target_transform"":""log10""}"	0	0	log10	2	1
mlv1.t1_2.regression.systemic_terminal_pk.cef290c530f88a4c	T1/2	systemic_terminal_pk	log10(h)	false	1	1	1	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	0	0	0	1	0	1	0	0	systemic_terminal_pk	0	1	1	elapsed_time	false	"{""assay_family"":""systemic_terminal_pk"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""radioimmunoassay"",""matrix"":""other_female_homozygous_brattlebo_f7ea806a"",""protease"":""not_applicable"",""route"":""route_not_reported"",""species"":""rat""},""endpoint_family"":""T1/2"",""normalized_unit"":""log10(h)"",""parameter_basis"":""elapsed_time"",""parameter_semantics"":""systemic_terminal_pk"",""target_kind"":""regression"",""target_transform"":""log10""}"	0	0	log10	1	1
mlv1.t1_2.regression.systemic_terminal_pk.cfb6f6140279343e	T1/2	systemic_terminal_pk	log10(h)	false	2-4	2	2	-1.54770232901	-1.52523560568	-1.43536871234	-0.986034245674	-0.424366162337	0.137301920999	0.586636387669	0.676503281003	0.698970004336	-0.424366162337	1.58863724201	1.12333616667	1.12333616667	0.5	0	1	1	0	systemic_terminal_pk	0	0	1	elapsed_time	false	"{""assay_family"":""systemic_terminal_pk"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""other_peptherdia_curated_appr_7011057c"",""matrix"":""other_terminal_half_life"",""protease"":""not_applicable"",""route"":""route_not_reported"",""species"":""human""},""endpoint_family"":""T1/2"",""normalized_unit"":""log10(h)"",""parameter_basis"":""elapsed_time"",""parameter_semantics"":""systemic_terminal_pk"",""target_kind"":""regression"",""target_transform"":""log10""}"	0	2	log10	2	1
mlv1.t1_2.regression.systemic_terminal_pk.cffedd6ca0206f92	T1/2	systemic_terminal_pk	log10(h)	false	2-4	4	4	-0.301029995664	-0.289842635575	-0.245093195218	-0.0213459934364	0.163577256205	0.560734692507	1.29384394228	1.44046579223	1.47712125472	0.375811442866	0.769826900871	0.582080685944	0.278151250383	0.25	0	1	3	1	systemic_terminal_pk	0	4	1	elapsed_time	false	"{""assay_family"":""systemic_terminal_pk"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""elisa"",""matrix"":""serum"",""protease"":""not_applicable"",""route"":""ip"",""species"":""mouse""},""endpoint_family"":""T1/2"",""normalized_unit"":""log10(h)"",""parameter_basis"":""elapsed_time"",""parameter_semantics"":""systemic_terminal_pk"",""target_kind"":""regression"",""target_transform"":""log10""}"	0	0	log10	4	1
