endpoint_family	parameter_semantics	parameter_basis	assay_family	normalized_unit	target_transform	descriptive_only	n	unique_values	min	p01	p05	p25	median	p75	p95	p99	max	mean	sd	iqr	mad	top_value_fraction	zero_count	negative_count	positive_count	tukey_outlier_count	tasks	unique_identities	unique_sources
Vd	compartment_volume	absolute	population_pk	L	identity	true	2	2	5.87	5.9143	6.0915	6.9775	8.085	9.1925	10.0785	10.2557	10.3	8.085	3.13248304066	2.215	2.215	0.5	0	0	2	0	2	1	1
Vd	volume_of_distribution	absolute	noncompartmental_analysis	L	identity	true	2	2	437.6	439.179	445.495	477.075	516.55	556.025	587.605	593.921	595.5	516.55	111.652160749	78.95	78.95	0.5	0	0	2	0	2	1	1
Vd	volume_of_distribution	absolute	noncompartmental_analysis	L/kg	identity	true	10	10	0.162	0.16578	0.1809	0.223175	0.2659	0.5615	3.13935	4.53507	4.884	0.82877	1.44799839169	0.338325	0.0829	0.1	0	0	10	1	10	3	2
Vd	volume_of_distribution	absolute	source_reported_pk	L/kg	identity	true	5	5	1.1	1.128	1.24	1.8	2.6	3	6.12	6.744	6.9	3.08	2.25765364926	1.2	0.8	0.2	0	0	5	1	5	2	2
permeability	apparent_permeability	caco2	caco2	source_log10_permeability	log10	true	1229	322	-8.06	-7.7	-7.43	-6.85	-6.05	-5.64	-4.8467983778	-4.2284	-3.46	-6.18316536762	0.801065871154	1.21	0.57	0.0374288039056	0	1229	0	7	1	1229	1
permeability	apparent_permeability	caco2_papp_ab	caco2	log10(cm/s)	log10	true	12	12	-6.71219827007	-6.70751094529	-6.68876164619	-6.64980454724	-6.1411647485	-4.9374301543	-4.52998750457	-4.51515692771	-4.5114492835	-5.85676585767	0.876123608772	1.71237439294	0.524400118025	0.0833333333333	0	12	0	0	1	12	1
permeability	apparent_permeability	caco_2_log_papp	caco2	log10(cm/s)	log10	true	65	58	-7	-6.92704	-6.67	-5.821	-5.272	-4.886	-4.495	-4.44624	-4.42	-5.38903076923	0.67960749171	0.935	0.503	0.0307692307692	0	65	0	0	1	65	1
permeability	apparent_permeability	caco_2_log_papp_ab	caco2	log10(cm/s)	log10	true	110	97	-8.699	-8.38962	-6.98155	-5.8465	-5.2115	-4.73425	-4.1457	-3.9569	-3.788	-5.38029007855	0.927495346528	1.11225	0.533	0.0272727272727	0	110	0	2	1	109	1
permeability	apparent_permeability	caco_2_log_papp_ab_with_inhibitor	caco2	log10(cm/s)	log10	true	32	32	-6.9	-6.71431	-6.26525	-5.70025	-5.2835	-4.918	-4.32865	-4.29668	-4.288	-5.2910625	0.622483835131	0.78225	0.4005	0.03125	0	32	0	1	1	32	1
permeability	apparent_permeability	caco_2_log_papp_ba	caco2	log10(cm/s)	log10	true	69	64	-6.77	-6.0764	-5.2982	-4.8540001	-4.485	-4.339	-4.172	-3.94332	-3.91	-4.60906595912	0.439158962205	0.5150001	0.209	0.0434782608696	0	69	0	2	1	69	1
permeability	apparent_permeability	caco_2_log_papp_ba_with_inhibitor	caco2	log10(cm/s)	log10	true	25	23	-5.578	-5.51248	-5.305	-5.108	-4.851	-4.735	-4.5562	-4.53892	-4.537	-4.91076	0.270255477897	0.373	0.164	0.08	0	25	0	0	1	25	1
permeability	apparent_permeability	mdck	mdck	source_log10_permeability	log10	true	63	55	-7.698970004	-7.61429656246	-6.5085217659	-6.145	-5.402304814	-5.007396731	-4.49	-4.4	-4.4	-5.56707606398	0.763203787529	1.137603269	0.542304814	0.047619047619	0	63	0	0	1	63	1
permeability	apparent_permeability	mdck_log_papp	mdck	log10(cm/s)	log10	true	5	4	-7	-7	-7	-7	-5.854	-5.602	-5.5508	-5.54056	-5.538	-6.1988	0.740870568993	1.398	0.316	0.4	0	5	0	0	1	5	1
